timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1729908116.0433,4,10.0.0.73367210.0.0.1550501,10.0.0.7,33672,10.0.0.15,5050,1,0,0,9,564000000,20,100,0,8,784,0.8888888888888888,1.4184397163120567e-08,87.11111111111111,1.3900709219858156e-06,0
1729908116.044037,2,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,9,544000000,20,100,0,153584,10137184,17064.88888888889,0.0002823235294117647,1126353.7777777778,0.018634529411764706,0
1729908116.044037,2,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,9,556000000,20,100,0,311000,14229851536,34555.555555555555,0.0005593525179856115,1581094615.1111112,25.593258158273382,0
1729908126.031496,4,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,19,538000000,20,100,0,167325,11044174,8806.578947368422,0.00031101301115241635,581272.3157894737,0.020528204460966544,0
1729908126.031496,4,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,19,562000000,20,100,0,341311,15648349478,17963.736842105263,0.0006073149466192171,823597340.9473684,27.84403821708185,0
1729908126.031496,4,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,-1,-1,9,487000000,20,100,0,807,1220184,89.66666666666667,1.6570841889117043e-06,135576.0,0.002505511293634497,0
1729908126.031496,4,10.0.0.155074110.0.0.750511,10.0.0.15,50741,10.0.0.7,5051,1,0,8,19,584000000,20,100,0,18,1764,0.9473684210526315,3.082191780821918e-08,92.84210526315789,3.0205479452054795e-06,0
1729908126.031496,4,10.0.0.75074110.0.0.1550511,10.0.0.7,50741,10.0.0.15,5051,1,0,0,19,568000000,20,100,0,18,1764,0.9473684210526315,3.1690140845070424e-08,92.84210526315789,3.1056338028169014e-06,0
1729908126.032299,5,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,19,517000000,20,100,0,167325,11044174,8806.578947368422,0.00032364603481624757,581272.3157894737,0.021362038684719534,0
1729908126.032299,5,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,19,566000000,20,100,0,341311,15648349478,17963.736842105263,0.0006030229681978799,823597340.9473684,27.647260561837456,0
1729908126.032299,5,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,-1,-1,9,490000000,20,100,0,807,1220184,89.66666666666667,1.6469387755102042e-06,135576.0,0.0024901714285714286,0
1729908126.032299,5,10.0.0.155074110.0.0.750511,10.0.0.15,50741,10.0.0.7,5051,1,0,8,19,588000000,20,100,0,18,1764,0.9473684210526315,3.0612244897959183e-08,92.84210526315789,3e-06,0
1729908126.032299,5,10.0.0.75074110.0.0.1550511,10.0.0.7,50741,10.0.0.15,5051,1,0,0,19,564000000,20,100,0,18,1764,0.9473684210526315,3.191489361702128e-08,92.84210526315789,3.127659574468085e-06,0
1729908126.037011,1,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,19,554000000,20,100,0,167325,11044174,8806.578947368422,0.0003020306859205776,581272.3157894737,0.019935332129963897,0
